sciname,Genus,Species,Database,Nansen,CommName,FamName,Nansen_2013_SpGrps,FamilyGroup,Order,OrderGroup,aveK,L_inf_cm,logTLinf,avephi1,Temperature,tmax,VB_t0_years,L_maturity2,VB_k,Weight_a_cm,Weight_b_cm,unit,L_maturity,tm,SL_TL_a,SL_TL_b,FL_TL_a,FL_TL_b,trophic_level,primary_diet_fishbase,M_ThenG,M_Then,M_Pauly,M_Hoenig_Fish,M_Hoenig_Joint,M_AC,Resilience,SpecCode,Vulnerability,PriceCateg
Arius maculatus,Arius,maculatus,FB,N,Spotted catfish,Ariidae,Ariidae,Sea catfishes,Siluriformes,Siluriformes catfish,0.73,45,3.306425028,3.169747888,23,NA,NA,NA,0.73,0.024494897,2.863738815,cm/tl/g,38,NA,0,1.187458202,0,1.105048154,NA,NA,0.932,NA,1.185,NA,NA,NA,Medium,1280,34.38,medium
Arius venosus,Arius,venosus,FB,N,Veined catfish,Ariidae,Ariidae,Sea catfishes,Siluriformes,Siluriformes catfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cm/tl/g,NA,NA,0,1.2334,0,1.15431,NA,NA,NA,NA,NA,NA,NA,NA,Medium,1283,32.96,medium
Alectis ciliaris,Alectis,ciliaris,FB,N,African pompano,Carangidae,Carangids,Jacks and pompanos,Perciformes,Perciformes perch-likes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03947824,2.770755749,cm/tl/g,NA,NA,0,1.244950158,0,1.123686784,3.8975,NA,NA,NA,NA,NA,NA,NA,Low,988,68.96,medium
Alectis indica,Alectis,indica,FB,N,Indian threadfish,Carangidae,Carangids,Jacks and pompanos,Perciformes,Perciformes perch-likes,0.17,120.68965,4.163340056,3.393788977,29,NA,0.018,NA,0.17,0.051465522,2.604764865,cm/tl/g,NA,NA,0,1.295938266,0,1.155589565,NA,NA,0.232,NA,0.386,NA,NA,NA,Medium,10,61.72,medium
Atule mate,Atule,mate,FB,N,Yellowtail scad,Carangidae,Carangids,Jacks and pompanos,Perciformes,Perciformes perch-likes,0.82,30.57036833,2.970601343,2.872148221,28.1,NA,NA,17.2,0.797162532,0.010674575,3.044800779,cm/tl/g,17.15,NA,0,1.21158,0,1.06866,4.408235294,NA,1.129,NA,1.534,NA,NA,NA,High,1893,19.03,medium
Decapterus kurroides,Decapterus,kurroides,FB,N,Redtail scad,Carangidae,Carangids,Jacks and pompanos,Perciformes,Perciformes perch-likes,0.86,33.55555667,3.051528896,2.956560183,23,NA,NA,11.4,0.803584011,0.01,3.11,cm/tl/g,11.4,NA,0,1.16535,0,1.10242,NA,NA,1.101,NA,1.37,NA,NA,NA,High,1940,24.9,medium
Decapterus macrosoma,Decapterus,macrosoma,FB,N,Shortfin scad,Carangidae,Carangids,Jacks and pompanos,Perciformes,Perciformes perch-likes,0.972941176,27.20411765,2.869269289,2.829241054,26.54705882,NA,NA,NA,0.911951548,0.006457221,3.107109806,cm/tl/g,17.25,3,NA,NA,-0.22,1.1,NA,NA,1.294,NA,1.686,NA,NA,NA,High,1938,24.25,medium
Decapterus maruadsi,Decapterus,maruadsi,FB,N,Japanese scad,Carangidae,Carangids,Jacks and pompanos,Perciformes,Perciformes perch-likes,0.90875,27.48382375,2.87815431,2.801486202,26.47142857,4.5,NA,NA,0.838169576,0.0119,3,cm/tl/g,NA,NA,0,1.15116,0,1,NA,NA,1.213,1.235,1.589,0.943,0.964,0.788,High,1939,16.99,very high
Decapterus russelli,Decapterus,russelli,FB,Y,Indian scad,Carangidae,Carangids,Jacks and pompanos,Perciformes,Perciformes perch-likes,0.802212121,27.72162424,2.885637345,2.749431059,25.65862069,NA,-0.035,13.525,0.730791881,0.012640136,2.890969602,cm/tl/g,14.94111111,NA,0,1.134186147,0,1.096932716,3.68,NA,1.094,NA,1.428,NA,NA,NA,Medium,374,24.16,low
Decapterus tabl,Decapterus,tabl,FB,Y,Roughear scad,Carangidae,Carangids,Jacks and pompanos,Perciformes,Perciformes perch-likes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008090388,3.147206907,cm/tl/g,30,NA,0,1.11887,0,1.05893,NA,NA,NA,NA,NA,NA,NA,NA,High,995,31.61,medium
